Image,Party Affiliation,Candidate Name,Office
R,Republican,Cecil Bell Jr.,Texas House District 3
R,Republican,Trent Ashby,Texas House District 9
D,Democrat,Dee Howard Mullins,Texas House District 12
R,Republican,Trey Wharton,Texas House District 12
R,Republican,Steve Toth,Texas House District 15
R,Republican,Janis Holt,Texas House District 18
L,Libertarian,Seth Steele,Texas House District 18
R,Republican,Terri Leo-Wilson,Texas House District 23
D,Democrat,Dev Merugumala,Texas House District 23
R,Republican,Greg Bonnen,Texas House District 24
R,Republican,Cody Vasut,Texas House District 25
D,Democrat,J. Daggett,Texas House District 25
R,Republican,Matt Morgan,Texas House District 26
D,Democrat,Daniel Lee,Texas House District 26
D,Democrat,Ron Reynolds,Texas House District 27
R,Republican,Ibifrisolam Max-Alalibo,Texas House District 27
R,Republican,Gary Gates,Texas House District 28
D,Democrat,Marty Rocha,Texas House District 28
D,Democrat,Adrienne Bell,Texas House District 29
R,Republican,Jeffrey Barry,Texas House District 29
D,Democrat,Stephanie Bassham,Texas House District 30
R,Republican,A.J. Louderback,Texas House District 30
D,Democrat,Suleman Lalani,Texas House District 76
R,Republican,Lea Simmons,Texas House District 76
R,Republican,Stan Kitzman,Texas House District 85
R,Republican,Sam Harless,Texas House District 126
I (Write-in),Independent,Sarah Smith,Texas House District 126
R,Republican,Charles Cunningham,Texas House District 127
D,Democrat,John Lehr,Texas House District 127
R,Republican,Briscoe Cain,Texas House District 128
D,Democrat,Charles Crews,Texas House District 128
L,Libertarian,Kevin Hagan,Texas House District 128
R,Republican,Dennis Paul,Texas House District 129
D,Democrat,Doug Peterson,Texas House District 129
R,Republican,Tom Oliverson,Texas House District 130
D,Democrat,Brett Robinson,Texas House District 130
D,Democrat,Alma Allen,Texas House District 131
R,Republican,Mike Schofield,Texas House District 132
D,Democrat,Chase West,Texas House District 132
R,Republican,Mano Deayala,Texas House District 133
D,Democrat,Ann Johnson,Texas House District 134
R,Republican,Audrey Douglas,Texas House District 134
D,Democrat,Jon Rosenthal,Texas House District 135
D,Democrat,Gene Wu,Texas House District 137
L,Libertarian,Lee Sharp,Texas House District 137
R,Republican,Lacey Hull,Texas House District 138
D,Democrat,Stephanie Morales,Texas House District 138
D,Democrat,Charlene Ward Johnson,Texas House District 139
D,Democrat,Armando Walle,Texas House District 140
D,Democrat,Senfronia Thompson,Texas House District 141
D,Democrat,Harold Dutton,Texas House District 142
D,Democrat,Ana Hernandez,Texas House District 143
D,Democrat,Mary Ann Perez,Texas House District 144
D,Democrat,Christina Morales,Texas House District 145
D,Democrat,Lauren Ashley Simmons,Texas House District 146
R,Republican,Lance York,Texas House District 146
D,Democrat,Jolanda Jones,Texas House District 147
R,Republican,Claudio Gutierrez,Texas House District 147
D,Democrat,Penny Morales Shaw,Texas House District 148
R,Republican,Kay Smith,Texas House District 148
D,Democrat,Hubert Vo,Texas House District 149
R,Republican,Lily Truong,Texas House District 149
R,Republican,Valoree Swanson,Texas House District 150
D,Democrat,"Marisela ""MJ"" Jimenez",Texas House District 150
