Image,Party Affiliation,Candidate Name,Office
R,Republican,Lance Bell,Kane County Board Chairman
D,Democrat,Corinne Pierog,Kane County Board Chairman
R,Republican,Anthony Catella,Kane County Clerk of Circuit Court
D,Democrat,Theresa Barreiro,Kane County Clerk of Circuit Court
R,Republican,Gretchen Butler,Kane County Auditor
D,Democrat,Penny Wegman,Kane County Auditor
R,Republican,Rob Russell,Kane County Coroner
D,Democrat,Monica Silva,Kane County Coroner
R,Republican,Sandy Wegman,Kane County Recorder
D,Democrat,Marisela Villegas,Kane County Recorder
R,Republican,Lance Bell,Kane County Board Chairman
D,Democrat,Corinne Pierog,Kane County Board Chairman
R,Republican,Ellen Nottke,Kane County Board Member District 2
D,Democrat,Dale Berman,Kane County Board Member District 2
R,Republican,"Donald ""Buzz"" Foley",Kane County Board Member District 4
D,Democrat,Mavis Bates,Kane County Board Member District 4
D,Democrat,Sonia Garcia,Kane County Board Member District 6
D,Democrat,Michelle Gumz,Kane County Board Member District 8
R,Republican,Laura Curtis,Kane County Board Member District 10
D,Democrat,Bill Tarver,Kane County Board Member District 10
R,Republican,Bill Roth,Kane County Board Member District 12
D,Democrat,Ricky Rivard,Kane County Board Member District 12
R,Republican,Jonathan Gripe,Kane County Board Member District 14
D,Democrat,Brenda Engelhardt,Kane County Board Member District 14
R,Republican,Eric Stare,Kane County Board Member District 16
D,Democrat,Ted Penesis,Kane County Board Member District 16
R,Republican,Rick Williams,Kane County Board Member District 18
D,Democrat,Sandy Kaczmarski,Kane County Board Member District 18
D,Democrat,Cherryl Fritz Strathmann,Kane County Board Member District 20
R,Republican,David Teas,Kane County Board Member District 22
D,Democrat,Verner Tepe,Kane County Board Member District 22
D,Democrat,Jarett Sanchez,Kane County Board Member District 24
